tamil_text,english_text,label
"""சென்னை சூப்பர் கிங்ஸ் போட்டியில் வெற்றி பெற்றது""","Chennai Super Kings won the match","Sports"
"""இந்தியா அணி இறுதி ஓவரில் வெற்றி கண்டது""","India team secured victory in the final over","Sports"
"""கால்பந்து வீரர் இரண்டு கோல்கள் அடித்தார்""","The football player scored two goals","Sports"
"""மாநில அளவிலான தடகள போட்டி இன்று தொடங்கியது""","The state level athletics event started today","Sports"
"""கிரிக்கெட் தொடரில் தமிழ்நாடு அணி கோப்பையை கைப்பற்றியது""","Tamil Nadu team lifted the trophy in the cricket series","Sports"
"""கபடி போட்டியில் மாவட்ட அணி முன்னிலை பெற்றது""","The district team took the lead in the kabaddi match","Sports"
"""டென்னிஸ் வீராங்கனை தேசிய சாம்பியன் பட்டம் வென்றார்""","The tennis player won the national championship title","Sports"
"""பாட்மிண்டன் இறுதிப்போட்டியில் இந்தியா தங்கம் வென்றது""","India won gold in the badminton final","Sports"
"""பாராளுமன்றத்தில் புதிய மசோதா நிறைவேற்றப்பட்டது""","A new bill was passed in Parliament","Politics"
"""முதல்வர் இன்று வளர்ச்சி திட்டத்தை அறிவித்தார்""","The Chief Minister announced a development scheme today","Politics"
"""தேர்தல் பிரச்சாரம் நாளை முதல் தீவிரமாகும்""","Election campaigning will intensify from tomorrow","Politics"
"""அரசு புதிய வரி கொள்கையை வெளியிட்டது""","The government released a new tax policy","Politics"
"""மாநில அமைச்சர் செய்தியாளர் சந்திப்பில் திட்டங்களை விளக்கினார்""","The state minister explained the schemes in a press meet","Politics"
"""கட்சித் தலைவர் கூட்டத்தில் முக்கிய அறிவிப்பு வெளியிட்டார்""","The party leader made an important announcement at the meeting","Politics"
"""சட்டமன்றத்தில் எதிர்க்கட்சியினர் கடும் எதிர்ப்பு தெரிவித்தனர்""","Opposition members strongly protested in the assembly","Politics"
"""உள்ளாட்சி தேர்தலுக்கான வேட்பாளர் பட்டியல் வெளியானது""","The candidate list for the local body election was released","Politics"
"""தமிழ்நாட்டில் கனமழை பெய்து வருகிறது""","Heavy rain is falling in Tamil Nadu","Weather"
"""சென்னையில் வெப்பநிலை இன்று அதிகமாக இருந்தது""","The temperature was high in Chennai today","Weather"
"""வானிலை ஆய்வு மையம் புயல் எச்சரிக்கை விடுத்தது""","The weather center issued a cyclone warning","Weather"
"""மலைப்பகுதிகளில் கடும் குளிர் நிலவுகிறது""","Severe cold conditions prevail in the hill regions","Weather"
"""கடற்கரை பகுதிகளில் பலத்த காற்று வீசுகிறது""","Strong winds are blowing in the coastal areas","Weather"
"""அடுத்த இரண்டு நாட்களுக்கு இடியுடன் மழை பெய்யும் என அறிவிப்பு வெளியானது""","Rain with thunder is expected for the next two days","Weather"
"""வெப்பஅலை காரணமாக பொதுமக்களுக்கு எச்சரிக்கை விடுக்கப்பட்டது""","A warning was issued to the public due to a heatwave","Weather"
"""வட மாவட்டங்களில் பனிமூட்டம் அதிகமாக காணப்படுகிறது""","Dense fog is seen in the northern districts","Weather"
"""தேசிய நெடுஞ்சாலையில் பேருந்து விபத்து ஏற்பட்டது""","A bus accident occurred on the national highway","Accident"
"""கார் மரத்தில் மோதி இருவர் காயமடைந்தனர்""","Two people were injured when a car hit a tree","Accident"
"""ரயில் தடம் புரண்டதால் பலர் காயமடைந்தனர்""","Many people were injured after the train derailed","Accident"
"""தொழிற்சாலையில் வெடிப்பு ஏற்பட்டு தொழிலாளி காயமடைந்தார்""","A worker was injured in a factory explosion","Accident"
"""லாரி மற்றும் வேன் மோதியதில் போக்குவரத்து பாதிக்கப்பட்டது""","Traffic was affected after a truck and van collided","Accident"
"""பள்ளி வாகனம் விபத்தில் சிக்கி மாணவர்கள் காயமடைந்தனர்""","Students were injured in a school vehicle accident","Accident"
"""மின்கம்பம் விழுந்ததால் சாலை விபத்து ஏற்பட்டது""","A road accident occurred after an electric pole fell","Accident"
"""பைக் சறுக்கி விழுந்ததில் இளைஞர் உயிரிழந்தார்""","A youth died after his bike skidded and fell","Accident"
"""புதிய திரைப்படம் இந்த வாரம் வெளியானது""","The new movie was released this week","Entertainment"
"""பிரபல நடிகர் தனது அடுத்த படத்தை அறிவித்தார்""","The famous actor announced his next film","Entertainment"
"""இசை நிகழ்ச்சியில் ஆயிரக்கணக்கான ரசிகர்கள் கலந்து கொண்டனர்""","Thousands of fans attended the music event","Entertainment"
"""தொலைக்காட்சி தொடர் புதிய சீசனுடன் திரும்புகிறது""","The television series returns with a new season","Entertainment"
"""நடிகையின் புதிய பாடல் இணையத்தில் வைரலானது""","The actress's new song went viral on the internet","Entertainment"
"""திரைப்பட விழாவில் சிறந்த இயக்குநருக்கு விருது வழங்கப்பட்டது""","The best director was awarded at the film festival","Entertainment"
"""கலை நிகழ்ச்சியில் பிரபல பாடகர் ரசிகர்களை கவர்ந்தார்""","A popular singer impressed the audience at the cultural event","Entertainment"
"""புதிய வெப் தொடர் அடுத்த மாதம் ஒளிபரப்பாகிறது""","The new web series will stream next month","Entertainment"
"""மாணவர்களுக்கு நாளை முதல் தேர்வு தொடங்குகிறது""","Exams for students begin tomorrow","Education"
"""பள்ளியில் அறிவியல் கண்காட்சி நடைபெற்றது""","A science exhibition was held at the school","Education"
"""பல்கலைக்கழகம் புதிய பாடத்திட்டத்தை அறிமுகப்படுத்தியது""","The university introduced a new syllabus","Education"
"""ஆசிரியர்கள் மாணவர்களுக்கு சிறப்பு பயிற்சி அளித்தனர்""","Teachers gave special coaching to students","Education"
"""கல்லூரியில் செமஸ்டர் தேர்வு அட்டவணை வெளியிடப்பட்டது""","The semester exam timetable was released in the college","Education"
"""மாணவர்கள் தேசிய அளவிலான வினாடி வினா போட்டியில் பங்கேற்றனர்""","Students participated in the national quiz competition","Education"
"""பள்ளி நிர்வாகம் புத்தக கண்காட்சியை ஏற்பாடு செய்தது""","The school management organized a book fair","Education"
"""ஆன்லைன் வகுப்புகளுக்கு புதிய கற்றல் தளம் அறிமுகப்படுத்தப்பட்டது""","A new learning platform was introduced for online classes","Education"
"""நகரில் நகை கடையில் கொள்ளை நடந்தது""","A robbery took place at a jewelry shop in the city","Crime"
"""காவல்துறை குற்றவாளியை கைது செய்தது""","The police arrested the criminal","Crime"
"""வீட்டில் திருட்டு நடந்ததாக புகார் அளிக்கப்பட்டது""","A complaint was filed about a theft at a house","Crime"
"""மர்ம நபர்கள் வங்கியில் பணம் அபகரித்தனர்""","Unknown persons looted money from the bank","Crime"
"""இளைஞரை மிரட்டி பணம் பறித்த கும்பலை போலீசார் பிடித்தனர்""","Police caught a gang that extorted money by threatening a youth","Crime"
"""கள்ளநோட்டு பரிவர்த்தனையில் ஈடுபட்டவர் கைது செய்யப்பட்டார்""","A person involved in counterfeit currency trade was arrested","Crime"
"""இணைய மோசடியில் பலரிடமிருந்து பணம் திருடப்பட்டது""","Money was stolen from many people in an online fraud","Crime"
"""தங்க சங்கிலி பறிப்பில் ஈடுபட்ட இருவர் சிறையில் அடைக்கப்பட்டனர்""","Two people involved in chain snatching were jailed","Crime"
